,sex,has_mobile,followers_count,graduation,relation,result,declared_langs,num_langs,city_freq,edu_Alumnus (Bachelor's),edu_Alumnus (Master's),edu_Alumnus (Specialist),edu_Candidate of Sciences,edu_PhD,edu_Student (Bachelor's),edu_Student (Master's),edu_Student (Specialist),edu_Undergraduate applicant,form_Distance Learning,form_Full-time,form_Part-time,form_nan,occ_university,occ_work,occ_nan
0,1,1.0,150.0,2012.0,2.0,0,1,2.0,68.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
1,1,1.0,92.0,2011.0,4.0,0,1,1.0,84.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
2,1,1.0,62.0,2012.0,0.0,0,1,1.0,10.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
3,0,1.0,179.0,1989.0,4.0,0,1,1.0,1371.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
4,1,1.0,74.0,2008.0,7.0,0,1,1.0,41.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
5,0,1.0,142.0,2009.0,0.0,1,0,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
6,0,1.0,751.0,2021.0,0.0,1,1,1.0,1371.0,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False
7,1,1.0,112.0,2014.0,4.0,0,1,1.0,84.0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
8,0,1.0,318.0,2012.0,4.0,1,0,1.0,61.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
9,0,1.0,294.0,2018.0,0.0,1,1,1.0,162.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
10,0,1.0,77.0,2011.0,1.0,1,0,1.0,84.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
11,1,1.0,23.0,2007.0,4.0,0,1,1.0,3.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
12,0,1.0,3148.0,2010.0,6.0,1,1,1.0,41.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
13,1,1.0,86.0,2010.0,4.0,0,0,1.0,41.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
14,1,1.0,89.0,2013.0,4.0,0,1,3.0,9.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
15,1,1.0,243.0,2018.0,0.0,0,0,1.0,26.0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
16,1,1.0,322.0,2015.0,4.0,0,1,1.0,1010.0,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
17,1,1.0,212.0,2010.0,0.0,0,0,1.0,1010.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
18,1,1.0,62.0,2006.0,4.0,0,1,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
19,1,1.0,86.0,1986.0,1.0,0,1,1.0,1371.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
20,1,1.0,76.0,2007.0,1.0,0,1,1.0,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
21,1,1.0,68.0,2011.0,4.0,0,0,1.0,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
22,0,1.0,606.0,2014.0,0.0,1,0,1.0,219.0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
23,0,1.0,172.0,2012.0,0.0,1,1,1.0,84.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
24,1,1.0,69.0,2005.0,4.0,1,1,1.0,19.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
25,0,1.0,369.0,2007.0,0.0,1,0,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
26,1,1.0,588.0,2011.0,4.0,0,1,2.0,9.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
27,1,1.0,217.0,2011.0,0.0,0,1,3.0,219.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
28,0,1.0,2837.0,2006.0,4.0,1,1,1.0,1010.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
29,1,1.0,954.0,2015.0,4.0,1,1,1.0,41.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
30,0,1.0,276.0,2017.0,0.0,1,0,1.0,1.0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
31,1,1.0,64.0,2010.0,1.0,1,1,3.0,219.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
32,1,1.0,213.0,0.0,4.0,0,1,1.0,17.0,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
33,1,1.0,0.0,1981.0,0.0,1,1,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
34,0,1.0,476.0,0.0,0.0,1,1,2.0,1010.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
35,1,1.0,305.0,2013.0,6.0,0,1,1.0,19.0,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
36,0,1.0,1204.0,2016.0,4.0,1,1,3.0,1010.0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
37,0,1.0,287.0,2009.0,7.0,1,1,1.0,84.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
38,1,1.0,54.0,2014.0,4.0,0,1,1.0,22.0,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
